
Please build project in debug configuration to get more details about an exception.
See https://docs.platformio.org/page/projectconf/build_configurations.html


--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
I 00:07:52.124 |        main.cpp: 194 |  free heap size: 30280 biggest block : 26624 
I 00:07:53.142 |        main.cpp: 194 |  free heap size: 23108 biggest block : 22528 
I 00:07:54.151 |        main.cpp: 194 |  free heap size: 23164 biggest block : 22528 
I 00:07:55.167 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:07:56.179 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:07:57.188 |        main.cpp: 194 |  free heap size: 24916 biggest block : 23552 
I 00:07:58.209 |        main.cpp: 194 |  free heap size: 28596 biggest block : 26624 
I 00:07:59.222 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:08:00.236 |        main.cpp: 194 |  free heap size: 27016 biggest block : 25600 
I 00:08:01.249 |        main.cpp: 194 |  free heap size: 28784 biggest block : 26624 
I 00:08:02.259 |        main.cpp: 194 |  free heap size: 22988 biggest block : 21504 
I 00:08:03.277 |        main.cpp: 194 |  free heap size: 23108 biggest block : 22528 
I 00:08:04.286 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:08:05.299 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:08:06.309 |        main.cpp: 194 |  free heap size: 24724 biggest block : 23552 
I 00:08:07.335 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:08:08.347 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:08:09.357 |        main.cpp: 194 |  free heap size: 28784 biggest block : 26624 
I 00:08:10.369 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:08:11.381 |        main.cpp: 194 |  free heap size: 22340 biggest block : 20480 
I 00:08:12.395 |        main.cpp: 194 |  free heap size: 24940 biggest block : 23552 
I 00:08:13.420 |        main.cpp: 194 |  free heap size: 23132 biggest block : 22528 
I 00:08:14.434 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:08:15.450 |        main.cpp: 194 |  free heap size: 23100 biggest block : 22528 
I 00:08:16.460 |        main.cpp: 194 |  free heap size: 21312 biggest block : 20480 
I 00:08:17.476 |        main.cpp: 194 |  free heap size: 23180 biggest block : 22528 
I 00:08:18.492 |        main.cpp: 194 |  free heap size: 28548 biggest block : 26624 
I 00:08:19.510 |        main.cpp: 194 |  free heap size: 28552 biggest block : 26624 
I 00:08:20.529 |        main.cpp: 194 |  free heap size: 28540 biggest block : 26624 
I 00:08:21.541 |        main.cpp: 194 |  free heap size: 28780 biggest block : 26624 
I 00:08:22.553 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:08:23.566 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:08:24.573 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:08:25.586 |        main.cpp: 194 |  free heap size: 23116 biggest block : 22528 
I 00:08:26.598 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:08:27.610 |        main.cpp: 194 |  free heap size: 26412 biggest block : 25600 
I 00:08:28.642 |        main.cpp: 194 |  free heap size: 24936 biggest block : 23552 
I 00:08:29.654 |        main.cpp: 194 |  free heap size: 24936 biggest block : 23552 
I 00:08:30.681 |        main.cpp: 194 |  free heap size: 28556 biggest block : 25600 
I 00:08:31.690 |        main.cpp: 194 |  free heap size: 28556 biggest block : 26624 
I 00:08:32.704 |        main.cpp: 194 |  free heap size: 30352 biggest block : 26624 
I 00:08:33.717 |        main.cpp: 194 |  free heap size: 28788 biggest block : 26624 
I 00:08:34.735 |        main.cpp: 194 |  free heap size: 28764 biggest block : 26624 
I 00:08:35.745 |        main.cpp: 194 |  free heap size: 23996 biggest block : 17408 
I 00:08:36.763 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:08:37.779 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:08:38.790 |        main.cpp: 194 |  free heap size: 24924 biggest block : 23552 
I 00:08:39.804 |        main.cpp: 194 |  free heap size: 26736 biggest block : 25600 
I 00:08:40.829 |        main.cpp: 194 |  free heap size: 24988 biggest block : 23552 
I 00:08:41.854 |        main.cpp: 194 |  free heap size: 24940 biggest block : 23552 
I 00:08:42.865 |        main.cpp: 194 |  free heap size: 24724 biggest block : 23552 
I 00:08:43.886 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:08:44.899 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:08:45.911 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:08:46.925 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:08:47.943 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:08:48.953 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:08:49.990 |        main.cpp: 194 |  free heap size: 28796 biggest block : 25600 
I 00:08:51.000 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:08:52.033 |        main.cpp: 194 |  free heap size: 28740 biggest block : 20480 
I 00:08:53.047 |        main.cpp: 194 |  free heap size: 23124 biggest block : 22528 
I 00:08:54.062 |        main.cpp: 194 |  free heap size: 23120 biggest block : 22528 
I 00:08:55.080 |        main.cpp: 194 |  free heap size: 21564 biggest block : 19456 
I 00:08:56.089 |        main.cpp: 194 |  free heap size: 19540 biggest block : 18432 
I 00:08:57.115 |        main.cpp: 194 |  free heap size: 26516 biggest block : 23552 
I 00:08:58.138 |        main.cpp: 194 |  free heap size: 23100 biggest block : 22528 
I 00:08:59.151 |        main.cpp: 194 |  free heap size: 23172 biggest block : 22528 
I 00:09:00.178 |        main.cpp: 194 |  free heap size: 19484 biggest block : 18432 
I 00:09:01.212 |        main.cpp: 194 |  free heap size: 21296 biggest block : 20480 
I 00:09:02.230 |        main.cpp: 194 |  free heap size: 23124 biggest block : 21504 
I 00:09:03.254 |        main.cpp: 194 |  free heap size: 26720 biggest block : 25600 
I 00:09:04.280 |        main.cpp: 194 |  free heap size: 23112 biggest block : 22528 
I 00:09:05.288 |        main.cpp: 194 |  free heap size: 23112 biggest block : 21504 
I 00:09:06.313 |        main.cpp: 194 |  free heap size: 28540 biggest block : 26624 
I 00:09:07.333 |        main.cpp: 194 |  free heap size: 26776 biggest block : 25600 
I 00:09:08.349 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:09:09.364 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:09:10.375 |        main.cpp: 194 |  free heap size: 28784 biggest block : 26624 
I 00:09:11.386 |        main.cpp: 194 |  free heap size: 28792 biggest block : 20480 
I 00:09:12.398 |        main.cpp: 194 |  free heap size: 23100 biggest block : 22528 
I 00:09:13.410 |        main.cpp: 194 |  free heap size: 23128 biggest block : 22528 
I 00:09:14.419 |        main.cpp: 194 |  free heap size: 24732 biggest block : 23552 
I 00:09:15.444 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:09:16.457 |        main.cpp: 194 |  free heap size: 26736 biggest block : 25600 
I 00:09:17.473 |        main.cpp: 194 |  free heap size: 23132 biggest block : 20480 
I 00:09:18.502 |        main.cpp: 194 |  free heap size: 28528 biggest block : 26624 
I 00:09:19.520 |        main.cpp: 194 |  free heap size: 28544 biggest block : 26624 
I 00:09:20.534 |        main.cpp: 194 |  free heap size: 26988 biggest block : 25600 
I 00:09:21.549 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:09:22.562 |        main.cpp: 194 |  free heap size: 30340 biggest block : 26624 
I 00:09:23.573 |        main.cpp: 194 |  free heap size: 28796 biggest block : 26624 
I 00:09:24.589 |        main.cpp: 194 |  free heap size: 22556 biggest block : 20480 
